tweets,target
"No problem..sir just calculate the unit you use, just put solar panel..it will cost you 2.60 paisa only for consumption.",0
This is daylight robbery 😮,0
"The regulatory commission clarified that the gross metering method, which causes huge financial loss to the solar energy producers, is not being implemented. If the electricity board makes a special request for this, it will be decided by taking public evidence... (Latest News 21-March-2024)",0
"When the consumer is taking energy from KSEB, why consumer is charged for fuel charge and fuel sur charge?. BOARD SHOULD EXPLAIN THIS?. TAMIL NADU AND KARNATAKA is not having these charges ? Why kerala.moat of the Discoms are buying from producers under PPA agreements. Why KSEB is charging this additional fuel amd fuel surcharges?",0
"The fools spent money and did it first.. This is Kerala, Kerala.",0
"When the grid is off for maintenance. The solar produced is waste since it won't be transferred to grid.
Public should ask for selector switch for self consumption. Pls sir tke it up.",0
"When we talk about someone's character, we accuse him of not having faith. It was a negative trait, but nowadays it is a positive trait.
No one can lend money on trust.
You can't tell anyone a secret, you can't tell which bank is safe to put your money in. Purapura Solar is like that. If you deposit the amount invested (trust any bank for the time being) in the bank, the interest earned is enough to pay the current charge even if it is a robbery price.
Or the cost of solar panel should be reduced as well.",0
This is communism... It is not cheating.... Let the people decide whether they want communism in the country or not....,0
I was expecting this. so I didn't go for it,0
The work of passing the wire through the asana and the palate at the same time.,0
"I am a consumer in a capitalist country called America. I have 32 solar panels installed in my house. I only get charged for the electricity I use and the electricity generated by the solar panel. It is calculated on monthly basis. After installing the solar panel, I have been getting credit here for most of the months. Even if more comes, it has not yet come to more than 5% of the bill when there was no solar. Here is the capitalist system and there is the government of the poor in enlightened Kerala? And don't pay lakhs of monthly salary to KSEB teachers who have not passed 10th class. Then how can we enlightened people not experience this",0
"Friend solar panel production is done during the day. So adding it off-grid would require large battery storage for nighttime use. As the life of the battery decreases it becomes useless. Again night will have to take refuge in kseb. If we put 2 lakh rupees in the bank for the cost of solar, we will get 16000 rupees a year, which means that we only need to pay 3000 rupees less in 6 bills of KSEB in a year. Consider which one is profitable",0
Why this type of cheating public is not brought into the notice of PM.,0
Is it necessary to put the light on all night and waste it by saying that it produces its own electricity? And the sun is public property!,0
"Center is coming with smart meter...moreover..electricity used during the day is cheap...use at night will be expensive...then solar eduthavar will be involved...then only way to escape is oru...give the produced electricity a decent price. ..when using on grid..we use kseb net work so the case will be rejected...off grid battery cost, its maintainence, life is a loss",0
"Saritha was cheated to get the government, now she will cheat the people with Saritha's policy, what else will these people who know only fraud and murder do?",0
"The house is outside. of trade union leaders
Time to get into the storm room",0
His biggest fraud is that he canceled the electricity quotation which was being bought for one rupee and then bought electricity from the new company for 5 rupees and cheated the people.,0
How long should this cabinet be tolerated? It is enough to say all these people who vote.,0
Deficits that run rampant in everything that benefits the people.,0
"Even Lulu, a big enterprise in Kerala, has no industry",0
A government that steals people's pockets no matter what they do,0
Consumers have to go to court if government changes conditions. It should be said that the money spent on the solar panel should be returned.,0
Do you have to pay fees to put it off grid?,0
LDF will come and fix everything. Then KSEB gives you 24 carat (916 ) vaiduti but solar panel produces 18 carat so you get 2.69.,0
No such thing was said in yesterday's regulatory commission meeting and no such answer came from kseb fake news aanu,0
"They took over judiciary home ministry and all departments, if you are not vigilant they will loot you big time… monopoly is not good way to progress… Kejriwal arrest shows their intentions. If he can have jail next congress can too. They would make you handicapped in every way… watch😢",0
A family living by stealing should not be ashamed to say that they are communists,0
"A party that has harmed so many people will not be seen in India, not only in Kerala, but everyone should vote and experience it",0
Solar in the last election too .....Solar this time too😅Solar😅😅,0
"The attractiveness of net-metering has led to people including myself taking out loans to set up on-grid solar power plants and buy electric cars. Stopping net metering after people have installed on-grid solar power plants with subsidies and advertisements will adversely affect the credibility of the government and the regulatory commission.

The lines from Sri Narayana Guru's world-revered poem Dattapaharam are relevant here. The Guru has said that ""it is not in vain that the giving of a gift is intoxicating to the family, but remember that it is true as much as the Puragiri"" means, if what is given is taken back, not only the recipient will be sad, but also his family members, this proverb is not meaningless, it is so true that one should remember this. Don't commit that sin...

Therefore, domestic customers who currently have on-grid solar power plants installed should be allowed to continue with net metering.

If it will be gross metering from 01-04-2024, then those who are going to set up on-grid solar power plant may agree to gross metering if they want. Because they are ready for it because they have evaluated its profit and loss.

Even when the contributory pension scheme was introduced by the government, it was only for those employed from the effective date. That is the right way. That model should be followed here as well.",0
Vijayan is a master of deception,0
"If other private companies also come into this field, all their bite will be changed",0
"People will realize that he is not trustworthy in the water he drank. If not today or tomorrow, 20x20 will come? That is just a peace.",0
"Another scam involved accepting deposits in co-operative banks at huge interest rates, challenging even the RBI. All that was changed by the comrades. Many of those who deposited committed suicide. Forgetting everything, the government shamelessly still offers 9.5% interest and accepts deposits.",0
All are governed in the same way,0
What about central government solar scheme. Please explain.,0
"Yes, gas petrol paisa has also been reduced...can someone tell me about it?",0
I am willing to sell 10 or 15 percent less than what I buy here. If not I am not ready to put solar panel,0
There will come a time when people who are stupid will sell solar for free then there is a plan to buy some 😅😅😅😅😅😅😅,0
"MR, Sajan Please don't mislead listeners. Absolutely wrong information you are saying",0
Now those who installed solar will have to pay tax in the royal regime😜😜,0
"There will soon be a law requiring those who live off-grid to pay taxes. For the second time, the mistake started when he gave victory in 99 seats because of substandard kit. Haritasena does not have a plat, if there is a mistake, even if the non-resident house is locked, there is a fine. Fixed charge for electricity. Two surcharges and duties. So far there has been no government researching how much fuel cess can be spent under so many names.",0
I did not apply because it was a Kerala government scheme. Many had asked to apply. Government schemes have lost credibility.,0
It has been proved many times that the people of Kerala are so stupid and uninformed.,0
"The current situation is that some are becoming beggars who do the slave labor of the regulatory authority kseb. If Kseb loses, the first thing to do is to reduce the heavy salaries of the kulayats there.
Those who have spent more than 300,000 rupees to get Purapuram Solar are now getting fooled. This scam happens when you think that you can capitalize this amount over a period of time.
Electricity ulppaadippichu without any transmission loss is directly received in the respective transformer even if it is a system, our current is taken by them. They have no qualms about paying ten rupees per unit and more from other states etc. They are ready to bear many losses besides that. Then the electricity we produce is a big deal to give us three rupees. I do not understand what is the meaning of this. 😮😮",0
"Now the next law will come, those who have off-grid should pay this amount for 1Kw",0
Fake news. Fake News...Another election stund... Net metering will be continued as of now. Regulatory commission cleared it yesterday..,0
Is Veena Vijayan's company also involved with any software for kseb 😂😂😂,0
"This criminal Pinarayi has not finished his torture of the people after everyone is aware about it. Communists should see through him and expel him and get some humane communist like Radhakrishnan or someone to head this party. Govindan, Jayarajan etc as we see are all stupid and anti democratic.. how can Keralites become so senseless..!!!",0
"There's no need for it, won't we give them the crores they deserve in their A/C rooms by saying that it's my party...",0
"True, any scheme which involves the state govt, take it for granted that would end in a mess",0
Cpm should be tied from Kerala. They have made people's lives difficult. Corruption and waste are destroying Kerala.,0
Only one month's welfare pension has come,0
For those who have taken a loan and installed solar,0
"Pinarayi did not cheat, the center is responsible! If the central directive is not implemented, Kerala will not get electricity from outside! And what is the logic in saying that the electricity that is produced at low cost during the day and bought from the fire at night will last forever.",0
Can someone tell this center to understand that they are asking for a loan to give wrapped milk,0
No wonder Kerala demanded the key to open the RBI's safe in May.,0
Sajan is misleading the Public...It is clarified yesterday by KSEC https://youtu.be/vDcVdKkpt4c?si=MdPbg1Z7Inhpm14e,0
Malayalees will beat them next time too. A Malayali who does not learn no matter how much he experiences,0
Spend a few more bucks and go off-grid. But will it come up with something new and steal the money?,0
"KSEB will suffer for 20 years after canceling the contract to supply electricity at a lower price of Rs 4.20 and entering into a new contract to supply electricity at a higher price of Rs 9.
In addition, the public will also be affected by all the commercial and industrial establishments here
The regulatory commission will laugh at this
Remember the commission you get",0
"Was expecting this kind acts. How to give high salary, pension and extra expenses. For off grid also they will make another law.",0
Then this party has no vote,0
Kerala is the number one researching how to squeeze the people...😅,0
"The common people know that he is a cheater, but there are some end deficits as moolis, that is his success.",0
The foolish people of Kerala should face the consequences for electing that dog again & again,0
Center will make plans to reduce petrol import. Kerala will make it a pond 😡,0
"If there is a good public welfare government, the electricity generated by the solar installers will be considered as a small business... but where is this a huge fraud.. if you think about it, it is a terrible fraud.",0
Kerala has never been ruled by such a dirty government 😡,0
This is wrong and false information. Gross metering and Net billing is not implemented. Please study and report Marunadan Shajan.,0
"Do not trust this government under any circumstances, this government is a fraud.
Solar project is the need of the country. Pinarayi is building a tunnel for it
Instead of encouraging people to create clean energy, they are persecuted 😡
In order to reduce the pollution from vehicles, only electric vehicles are recommended.
KSEB should be privatized. This government will not improve any position 😡",0
"If we can cancel KSEB's electricity connection and install our own solar panel, will we not be able to generate enough electricity for our home? Does it require any permission from Govt..
'?.",0
Does this off grid also come with any cheats?,0
KSEB provides 240 V electricity. Is renewable solar electricity gum or mango??,0
"Don't be too happy. Even if we produce and use our own, we will have to pay in the future...😂 Koran Vijayan Ara Mon. It is better to leave the deficit country of Kerala or commit suicide....😂",0
"If the Center comes up with a scheme that is popular with the people, the deficit government's plan is to just shovel it. People must be poor. It is the party supporters who benefited most from the farmer pension and housing schemes provided by the Centre. And blocked others.",0
Never fall into solar trap. KSEB is ruled by CPM criminals. Never connect it to KSEB line. Make it off grid.,0
I got what I thought. Also remember the off grid tack tomorrow,0
I escaped. I was sitting to put this copy.. hahaha......😅😅😅😅😅😅,0
Connect an inverter + battery and disconnect from KSEB,0
Nothing will happen...this is Kerala 😂,0
Should the people who do not have money to install solar panels subsidize the rich who can install solar panels. The charges for poor who cannot install solar panels will increase.,0
If this is true then a case should be filed... we attended the regulatory commission meeting and such a decision is not even on their agenda... samsayikkenam that Pinarayi's antagonism has broken his morale.,0
"It is a great pity that the subsidy of 78000 rupees given by the central government was given, thanks to the central government

But the cheetahs here didn't know that they would do this. Is it not enough that they have entered our yard and we are watching them to steal 😢😢😢

God, who is there for us?",0
It is heard that this method will come all over India,0
"15000 rs belonging to Labor Welfare Fund has not been paid 3 months ago, now I will have to pay cash in the name of Solar...",0
It has been 13 months since I got the construction worker pension,0
I have now canceled the one I had booked,0
"Even if they see any kind of cheating, the uneducated Malayalees will ask for it and buy it",0
Cut off ongrid connection Use own power during time and use kseb power in evening,0
"Can those who are on grid still be made off grid? In that case, the exporting to KSEB could be stopped and the electricity generated by the solar panel could be collected in the inverter and used for its own household needs.",0
The hallmark of this party is the cleverness of the usurer and extortion.,0
Those who put solar on-grid can form an organization and go to the High Court. Me too. gone,0
The court is now in the reckoning. Only some judges stand with the people. See what the court has done so far in the stand taken by the Governor in the Siddhartha case to understand things,0
The court is also in their hands,0
Stupid...look things up and realize the truth,0
"Don't listen to this lie, it's a loss for him",0
Can it be done without battery during the day?,0
this wont last long... people are tired. soon they will become extinct,0
Election is not a good opportunity for locals to cheat.,0
"In the past, Sarita was inside Vitt, but now she is outside",0
Solar is gone.. we too will suffer.. because of believing the words of this evil man,0
It is our job to undermine Modi's plans,0
Did they say that LDF will come and cheat everyone? A new government that cheats the people in any way.,0
Oh I survived and sat down to do this thanks for letting me know there is an end to this short reign,0
What is the guarantee that welfare pensioners will vote for Pinarayi?,0
Improved battery storage without connection to the grid.,0
"Everywhere you look there is only fraud, fraud and deception.",0
"The bus, which cost one and a half crores to build, is now lying in the museum",0
"Why should kseb go for this job, I have heard that he is showing his sister-in-law and marrying off his sister. Now that proverb has turned out to be Seri. Just like water is available for free, solar electricity should also be available for free. No shame at all.",0
"In Kerala, on-grid solar system is not very practical. In a line where power fails several times a day, especially during the day, none of that time can be transmitted and the solar power is wasted. An off-grid system involving a battery is relatively practical here. The additional cost of the battery can be recouped in the long run by using the solar power sold to kseb at low cost for its own needs,/by avoiding the board's expensive or marginal use.",0
"Even knowing that Kseb were thieves and robbers, he went and bought work",0
Had sensed long ago this was coming. Only foolish people trust Socialist governments.,0
What will we do with this man now?,0
It is like the British Raj who captured the people.,0
Don't listen to these people who don't know anything good.... They only like rotten things. This video has only 11k views and 600 likes and 39 comments 🤣🤣🤣🤣🤣 Hope some more.....,0
This is the only reason I didn't put it.. Even if I put only Offgrid,0
"Indiscipline unprofessionalism and incapability pushed KSEB to verge of collapse. People like us invested hard earned money to be independent wh 0:00 en it comes to electricity and now for their survival, they are putting their hands to snatch from us. Elanakki pattiyude kiri nakki Patti.",0
The left government is doing research on how to squeeze the common people,0
"No matter which way you look at it, you should not allow the false robbers to be in power in Kerala. The people are some stupid slaves who are in the group to do the work of Kamikuttam. This is the end of Communism in Kerala. It has been taken everywhere in the world and thrown in the garbage.",0
"In that case, the order of the Regulatory Commission that the right to generate power belongs to the government will come soon.",0
Now solar installers have to do the wiring to get away with this scam,0
"More power consumption comes from A/c, Motors, Fridge, Fan, Iron box, water heater..... There will be no big change in KSEB bill if only light bulb is lit....... Similarly, in PMSURYA GHAR MNRE scheme if Ongrid does anything Is there a change?",0
"People should go to the honorable court against this cheating. I installed solar panels, but never received any subsidy.",0
"We can buy it in cash and use it ourselves, why the permission of the government?",0
Get rid of this KSEB and make it private like in Delhi. Give it to 2 agencies. It will be a competition between them. The rate will also decrease. I hope this rule will end soon.,0
"Wild animals kill the poor man, those who struggle after losing their livelihood and bed are framed and remanded in false cases, investigations by central agencies, get nowhere, and then, is this it?",0
And so of the solar scandal. Second part. Super .Those who put solar panel can't take it and throw it away ..another decent scam by govt .,0
Despite all this why Kerala still has such a government... Are Malayalees the biggest fools on planet Earth... One single idiot has taken the whole state at ransom... Pathetic...,0
Deleting kseb without deleting Ldf is useless.,0
"Yes, the current situation would have been the same if there was only mobile phone network bsnl",0
There is no other connection except Kseb in Kerala right now? It is said that soon other electricity distribution companies will also come as part of the center. Let's hope...,0
"This is essential for the Congress. For these 10 years, the Left government has given tacit approval to every action of the Center, watching the left government urinate, counting on it, and pretending to be a political party of its own.
If you can do anything for the sake of the country for the sake of the natives then it is good for you otherwise a party called Congress will be just a memory in Kerala.",0
If only this wretched reign would end 😡🤦‍♀️,0
We need more electricity at night. The only recourse then is the energy stored in the battery.,0
"Against this, this solar company should go to court immediately. Yesterday, the organization had a discussion with the regulatory authority. Then the regulatory authority said that there is no reason to install the gross meter. In any case, the discussion was a failure and the organization said that there will be a discussion. Wait and see.",0
"I was a fool who spent 2 lakhs and forty thousand
The interest on this was sufficient. To pay KSEB bill",0
A special kind of creature who lives only for his daughter 😂😂,0
"Inspite of all these misdeeds, it is the SNDP factions and Islamic extremists who vote and win Pinarayi's CPIM.",0
The central government has announced a subsidy of Rs 78000 for Pinu Win Kalipai 'a program to change the vote by hating Modi.,0
"It's a habit to eat without working, isn't it? Don't feel anything..",0
"Do you want the Congress to rule? Look after us without telling others. If they don't pay, I will.",0
It is better to install solar panel and go off grid to meet all our needs at home,0
It won't end... We have to beat this broken party and party comrades,0
It will never end... it will come again with something new... it will stick.....Isn't the Malayalee enlightened 🤣,0
"Vote for development-centric parties, and ostracize commie voters, even if family.",0
"No use, after election they will implement the new rule. So don't go ongrid. KSEB and this government will cheat.",0
"This will not end, man. For those who use electric vehicles, instead of fuel tax is being considered.",0
"You, a patriot, are oppressed by the mismanagement of foolish rulers. That is the truth.",0
We have approached the court against this fraud,0
I have advised this to many people and turned them away,0
"You should not be alarmed by this dog's mon, this is a false propaganda.",0
Do not allow this under any circumstances. All those who have taken Ongrid solar system should stand together and oppose.,0
Democracy is in danger if you are not reacting and keep your mouth shut.. you guys are closed eyes when Kejriwal arrested... BJP's foul play is coming your way😢,0
Off grid solar project is also not profitable as you have to spend lot of money for storage battery for every 3rd year.,0
"Very well said... Keralites do not realize that Somalia is the role model for LDF, UDF politicians, Sad.",0
"Off grid is too expensive - the battery replacement kills.

All over the world the buy back rates are more than the selling prices per unit. This is the incentive the govt gives for moving to solar",0
"Oh, I don't know if it will be worth it anymore?, they are clueless.",0
"Don't look back in 10 years with a lithium battery. A small 500 watts is sufficient. Light, fan, fridge and TV only.",0
"I bought a solar lantern in 2000 through anert with subsidy through ration card. At home most of the time electricity goes off at night which is very difficult for my mother. Therefore, lantern worth Rs 3500 was bought at subsidized rate, panel Tata. 6 years is fine. Then the wire rat was cut. I gave it to the company and joined the wire. Then the battery problem. Again at the service center they charged me many times till the end of the gurantee period and frauds such as battery change, no sun. I gave it to a pvt company, they said go and buy another panel for 2000 rupees. Bought it and it was gone. Now the third panel. Even if technology changes, this is the situation of solar panel, 5-6 years is fine, rest is like luck. If you do a survey of this, you will know how many percent of people have actually received this return.",0
"So, which state do you think is the best to live in now, and which place would you suggest?",0
How many ordinary people who are not civic leaders sincerely say that they will not vote for this party again?,0
"How many poor people die from falls, accidents and diseases. This does not affect him",0
"That deadly poison has so many adjectives like killer, traitor, scumbag, arrogant, arrogant. Yet the party led by him wins again and again",0
What are those who voted for false deficits for so long?,0
There is no difference between them except Tomman,0
"They are raised as bad people, then the elves make shelter in the palm, which disturbs the natives, and finally the public pours charcoal oil on the palm and burns it.",0
"We did not conquer the disease and leave it to America, or sometimes we had to",0
"It does not mean that the wicked will grow like a palm, but the worm will die",0
Isn't it our fault..we can make a mistake once...those who make a mistake twice must suffer...even god can't save us now 😂,0
People make fools of themselves by voting,0
"The wicked will grow like a palm tree.
170,000 people have synced together and joined pandas.",0
God will raise the devil like a palm tree,0
It doesn't affect you either,0
Why need to connect with KSEB ..,0
Three lacs if invest in share or anywhere outside Kerala real estate in five years it becomes 12 lacs per month current bill if 5000rs 15 years or up to thirty years we can pay bill,0
"Hasn't the public's money been taken yet? Enough mashei...what democracy? Can mob robbery be called democracy? No matter who you rule, there is no shortage of loot. To whitewash fraud and falsehood in the name of democracy? Isn't all the country's money going because of wrong elections? The number of people's representatives at present puts the princely states and their rulers to shame before India's independence..Why are so many people fed for nothing? Why should people tolerate them?",0
"Just look after your party. After ruling for so many years, the Congress, which could not even build a party office in Delhi, will be disbanded after this election. Then only BJP will save you.",0
I found this from the beginning. That is why I refused to install solar on my roof.,0
A sighted Dhritarashtra is as dangerous as a blind Dhritarashtra.,0
And then the poor Congress. Sold all over India. Cash is not enough. Chumma natu kara. With hard earned money. living you too ualattana of. Go pay taxes,0
Truth will remain untruth is just bob and can explode anytime,0
"Who are you to ask the tax bill paid by Erapali...what, who are you to convince you about the tax bill paid by BJP....?",0
People know demonetisation is only for this so cons don't get tired Congress can win without money if you have good heart go to people,0
"Hey, this is Congress's problem.
The Center has done nothing wrong.
Have you forgotten what happened when Pinarayi only mentioned Vijayan?
what happened now
Don't blame Kerala anymore.
Don't you have a job now?",0
"After the election, the cases will be withdrawn... Vote strategy...'' Even the nations of the world have realized that democracy is being lost....",0
"Tell them what you don't have to say

Should Pinarayi resign?",0
Veena Vijayan forgot to look at his own party's account while walking away looking at tax adacho😂😂😂😂,0
Who are you to show you the BJP tax receipt you are angry with?,0
"BJP will destroy India's religious harmony.....
 No one should vote for BJP",0
"Thank you for bringing the news while all other major ones are sleeping.🙏🙏🙏

I am an electricity consumer who has fitted solar electricity generation system to grid. With respect to the above reference, I strongly requested the Kerala Electricity Regulatory Commission not to accept the new proposal of gross billing system put forward by KSEB for solar electricity consumers for the following genuine reasons.

1) India is a country with good solar light throughout the year and hence almost all states of India are going to solar electricity to use green solar energy to produce electricity to protect our atmosphere for us and for the future generations.

2) Further different state governments and the central government are giving subsidy for encouraging and continuously motivating the electricity consumers to go for solar in the larger interest of the country to preserve the atmosphere (by stopping coal and naphtha plants in a phased manner which produce electricity with emissions).

3) By going to solar electricity and electric vehicles, our country is aiming at a very large goal of reducing our currency drain by way of import of petroleum products and for good financial situation.

4) If the present proposal of gross billing system of KSEB for their vested interest is accepted, I am sure that all consumers who are planning to switch to solar electricity will move back and it will be very harmful for the vision of our nation.

5) Infact I have installed a 5 kw solar solar structure for my house, investing a huge initial amount of three lakhs to participate in this great national goal of becoming self sufficient with green energy and of coure with personal interest of having savings in a long run. The present proposal of gross billing system of KSEB was not there at the time of my joining in solar. If the present proposal of gross billing system was there, I should never have decided to go for Solar. Infact KSEB is cheating its clients after pressing to go for solar with huge initial investment. Infact the interest of this invested three lakhs is more than the amount required for payment of electricity charges, if not switched to solar. Still I have participated in the scheme in the best interest of our national goal. The aim of KSEB in implementing the solar scheme seems to be just for getting the subsidy of around 5000 crores and it seems that their aim is to cheat its clients after that by these crooked ways to pick pocket from the clients. I doubt why people are bearing this 'Vellana"". It is high time for private electricity distribution system.

In fact the KSEB and the government of Kerala are pulling back the development of our nation aimed through green solar energy.


Hence I strongly requested the honorable commission not to accept the present proposal of gross billing system for solar customers.",0
"Are BJP leaders seeing this news? Isn't this an order to destroy Panti? If action is not taken soon, it will be sad.",0
"Don't give Eid-ul-Fitr a holiday too, Digital New India, Bhrama Yuga,",0
This is a declaration of hatred against mother believers,0
"Even if the country is poor, the party should be good",0
No tax is applicable to the bond which has sunk thousands of crores of bonds.,0
"Corruption by giving contracts through bonds... Threatening to leave Ed and collect money to BJP fund... Then pretending how noble we are.. BJP is a party that has not submitted its tax return on time, is there a special law for them..",0
"Democracy does not mean evade taxes, which you nerd to know very well!",0
How much BJP has to pay? Dirty politics of Modi.,0
People should go on the street and protest against criminal Modi and his dictatorship,0
"There is no other party in India other than Bjp, such a dirty party, a party that fears the opposition so much.",0
"After having so much money, the Congress is saying that they don't even have money to drink lemon water",0
"If there is tax to be paid, it should be paid. There is no need to lie down and cry",0
"Don't give the account and move on.....Isn't it old India.....Despite the delay, the return is not filed....Now I want it....

If you give an account, something big has been signed...that's it.",0
Association is already there for the domestic solar plant owners,0
"They will charge for this also. In 1985, in UP they had charged one paise per unit, for the power produced by our generator set.",0
Commissions for panels and accessories will run to crores is an extra benefit for kseb members.,0
"It's good to push, you've pushed the Congress and you're still there",0
"Don't look at Congress whether BJP has paid tax, look at the money you have to pay, or else the party's assets will be confiscated and the party will be Congress on the railway platform 😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔😔",0
If you always look at CPM it will look like this. This is what will happen if we always look to find CPM's crimes without looking at figures or stopping BJP's moves.,0
CPIM is a criminal part and they protect by fascist RSS. But Muslims understand these tactics.,0
"The CongRss was adamant that it should somehow destroy the CPM by joining the BJP. 22 times with the help of BJP he smuggled tons of gold and delivered it safely to the ""wanted"" big businessmen. Received crores as commission. Then he tried to place the whole blame of the gold theft on Pinarayi's head without a hint of shame. But it's gone. Now dey lie longing CongRss. It's a very sad sight. There is more to come.😮😅😊",0
Does the Congress have nothing to look into the account? what are you doing there,0
There should be no one like him in politics. He is the only one who has made this party to this level,0
Congress free India.. then India will achieve progress... Indira Gandhi's Congress is not all now traitors,0
What is the tax on fake money😂 shouldn't it also be counterfeited😂 both are the same😂 BJP = corn gruse😂,0
"Why didn't you go to court and win? There are tax arrears. Is the Supreme Court the only one left? I want to go there with you. Pay some fee to Kapil Sibal and Abhishek. Or, bring it here from a foreign bank. Tax must be paid

These lawyers must have paid at least 5000 crores by handling the cases so far",0
"What can the Congress people do? After the Congress came into being, right foot is in BJP or lift the left foot and put it in BJP.",0
"We know BJP's agenda and you don't need to convince us, but did you file your income tax return? Make it clear first?",0
"How did they get the area share of the money and give it to the BJP to save Priyanka's husband Vadera and then make it as a house for Punarni Martyrs by Satheesan, Chennithala, Sudhakaran and Venugopal and the rest is the money bought from the hands of the Bangalore lobby to destroy the development of Kerala.",0
The video satisan needs money to fly around in a helicopter..BJP covered up the work by blaming CPM and Congress got the job,0
"Even though Modi has incited a lot of violence including the Gujarati riots and killed more than 2000 Muslims in a single night, Modi has also trampled the Congressman who protected him with all his support.",0
"Aren't you the people who blame the government of Kerala and quote Nirmala? They are doing the same to the Kerala government. And sir, this is karma, isn't it?",0
I should have remembered when I blamed Pinarayi alone,0
"Tell that Sanghi Satheesan to shut up, isn't he the one who is peddling ED?",0
People understood that you and BJP are one and the same,0
What did you say when you said that the Center has withheld the money to be given to Kerala?,0
I should have remembered when I was lying...,0
What is the point of Sutapy asking the channel where the tax payment is? Ask the tax office. They will say.,0
Even the court was convinced that the reason for Kerala's economic crisis was the hostile attitude of the Centre. But what was the approach taken by your party for 5 years? Experienced or well experienced.,0
Why was it delayed? What had to be done had to be done. Kejarim says that my name is only in 4 places. Here is the court,0
The High Court is now a comedy. Approach the Supreme Court. That too before high jacking,0
Delaying the tax returns is not wrong bro,0
"Let your party, which is struggling to maintain its symbol, be in power for 10 years, even your office will not be there. You will write everything to the BJP.",0
Where is the account paid by Bond janatha party...,0
"If there is no thickness in the bosom, then why should I be afraid... How did Sonia Gandhi, who is said to be a drunkard in the bar, become the richest person in the world? If Rahul Gandhi's brother-in-law Robert Vadhera is a number fraudster, if Congress carries Rahul Gandhi and Priyanka Gandhi, Congress will have to carry brother-in-law Robert Vadhera too....",0
Congress has responded to you..... through legal proceedings...... Is there no solution for this.... Isn't it the party that ruled the country for 60 years......,0
"Why u r telling lies I think no income tax for all political parties need to submit fund details
If congress have proof of receiving cash details please give this to its department
I think your party collected too much money without any proof",0
First pay the tax and start a mass movement against the BJP😂,0
None of this is applicable to BJP....that is....100 crores given to MLA by the teams......,0
"What does the PC say? Casa, what do you say? next Bakrid, the little festival?",0
"We can approach the Supreme Court, but it is not right to come to the channel and call a press conference. If BJP doesn't pay tax then it should file a legal case and pay tax - freeze their account, people won't believe what the channel is saying.",0
"The central government is hunting, don't you agree 😂😂😂😂.",0
"Sir, what is the matter of saying this here, go to North India and tell the people and make them understand",0
"Call that pipe country to file a case, don't walk around shouting that the tax has been paid every month. What is to come should not stand in the way",0
"Despite going to court twice, the case was lost. Yesterday was the second verdict. Don't you read the newspaper?",0
"Delhi High Court ruled. If you want, you can appeal to the Supreme Court. But I don't think it will matter.",0
"If it goes to court, it will have to wait until the election bond is legalized for the next 2028 election",0
The case went to court. The case was dismissed,0
Here even a small salary earner is filing incomtax return on time... then what about Congress,0
"You want the same. You have waged a good struggle against Modi for these ten years, did you compromise with them? You still don't understand BJP. Are you still saying that it is a democracy?",0
"It is not tax when it becomes the ruling party. Do not close anything. If any officer asks him to pay, his bill will be returned.",0
"When you said that the Center of Kerala Government is not giving the cash to give, you said that it is because of the badness of Kerala and that the Center has nothing to give, you and your MPs who have left Kerala are now lying down and moaning.",0
"1700 crores is just like a bond for BJP, that will be it",0
Don't stop! Don't cry.. You know you can blame the left side and walk away!,0
What do you call thieves other than thieves???,0
"In any case, Shafi will lose, if there is more propaganda against Shailaja teacher, the people of Vadakara will also respond to it. Shafi's loss will only add weight. Defeat Shailaja at Vadakara",0
Nothing will happen in previous experience. People are just idiots. Jayarajan remembers saying.,0
"It will make the poor people martyrs, name them, go down with a knife and make crores of loot, and then pay the ""family"" of the martyr and loot the rest of the deficits. Look at Abhimanyu in Ernakulam. According to the information that has been released, out of the 3 crores collected, only 35 lakhs have been paid for the flag and song 😭😭😭😭😭😭",0
1000 crore is in the hands of Sonia and the rest is in the hands of others,0
Tax to be paid or go to court,0
What did the Congress do to the people of Kerala?,0
"After having so much money, the Congress is saying that they don't have money to drink lemon water.😂",0
The leaders put all that in their pockets in the usual way of Congress 😂,0
When one hears u r v.d. sateeshan every body will comment that the congress party deserves more ! Be mourn u podaal kutty !,0
The Chief Minister is not interested in any of this,0
"After seeing this, it is like walking into the glorious houses of the past 😢😢😢😢",0
"We don't need food, just cook and eat secular food, left and right will give us secular food as we like, that's enough for us 😂😂😂",0
Everything will be fine....wait....let him get admitted in Tihar Jail,0
They will not vote on hammer and sickle symbol again..... When they are contesting on marapatti symbol they will understand the plight of the people.,0
Pinarayi should rule for 5 more years and finish.,0
What happened to the gold smuggling case in the last election 😂😂,0
"Auditing is prohibited here because if it happens, the funds will be traced and caught. Then a bucket collection is sometimes done to give the funds. You will learn from those who do not study.",0
Let the people bear the development. 4 years of development. haha,0
Why is this a news? Kerala people still think UDF or LDF can only uplift Kerala 😂😂😂 uplifting is happening….😂😂😂,0
"The road taken in the morning cannot be seen in the afternoon, this is the situation in Thiruvananthapuram",0
No one should try to convert anyone. That too should not be done by handing over aid money and giving inducements etc.,0
